Gene stable ID,Gene name,Gene type,Database of genes from NCBI RefSeq genomes ID
LOC6897906,,protein_coding,6897906
LOC26533218,,lncRNA,26533218
LOC4801435,,protein_coding,4801435
LOC4814862,,protein_coding,4814862
LOC117184305,Trnaq-cug,tRNA,117184305
LOC117185531,,rRNA,117185531
LOC4816344,,protein_coding,4816344
LOC4813828,,protein_coding,4813828
LOC4818115,,protein_coding,4818115
LOC13036349,,protein_coding,13036349
LOC6897462,,protein_coding,6897462
LOC4812543,,protein_coding,4812543
LOC117184110,,pseudogene,117184110
LOC6904094,,protein_coding,6904094
LOC4804238,,protein_coding,4804238
LOC4805600,,protein_coding,4805600
LOC4805161,,protein_coding,4805161
LOC4803221,,protein_coding,4803221
LOC6902939,,protein_coding,6902939
LOC4816374,,protein_coding,4816374
LOC6896664,,protein_coding,6896664
LOC4818197,,protein_coding,4818197
LOC4801758,,protein_coding,4801758
LOC4804130,,protein_coding,4804130
LOC6899948,,protein_coding,6899948
LOC6897117,,protein_coding,6897117
LOC4811835,,protein_coding,4811835
LOC4816663,,protein_coding,4816663
LOC6903449,,protein_coding,6903449
LOC6898626,,protein_coding,6898626
LOC4816676,,protein_coding,4816676
LOC4813681,,protein_coding,4813681
LOC4814074,,protein_coding,4814074
LOC4818179,,protein_coding,4818179
LOC4817985,,protein_coding,4817985
LOC117183581,,protein_coding,117183581
LOC6899177,,protein_coding,6899177
LOC4804602,,protein_coding,4804602
LOC4812261,,protein_coding,4812261
LOC6900084,,protein_coding,6900084
LOC4802814,,protein_coding,4802814
LOC6899484,,protein_coding,6899484
LOC6902016,,lncRNA,6902016
LOC4803099,,protein_coding,4803099
LOC117183415,,rRNA,117183415
LOC26532664,,lncRNA,26532664
LOC4800449,,protein_coding,4800449
LOC4813888,,protein_coding,4813888
LOC26534410,,protein_coding,26534410
LOC117183872,Trnag-gcc-3,tRNA,117183872
LOC4816451,,protein_coding,4816451
LOC4804250,,protein_coding,4804250
LOC4814748,,protein_coding,4814748
LOC4812101,,protein_coding,4812101
LOC6901913,,protein_coding,6901913
LOC117184764,,lncRNA,117184764
LOC4801440,,protein_coding,4801440
LOC4803076,,protein_coding,4803076
LOC4817231,,protein_coding,4817231
LOC4801540,,protein_coding,4801540
LOC4804730,,protein_coding,4804730
LOC117184295,Trnad-guc-7,tRNA,117184295
LOC4812671,,protein_coding,4812671
LOC4801367,,protein_coding,4801367
LOC26532884,,protein_coding,26532884
LOC4800353,,protein_coding,4800353
LOC4802098,,protein_coding,4802098
LOC4817821,,protein_coding,4817821
LOC26533979,,lncRNA,26533979
LOC4815323,,protein_coding,4815323
LOC4812724,,protein_coding,4812724
LOC4802499,,protein_coding,4802499
LOC4817939,,protein_coding,4817939
LOC4800456,,protein_coding,4800456
LOC4801896,,protein_coding,4801896
LOC4814425,,protein_coding,4814425
LOC4803729,,protein_coding,4803729
LOC4804996,,protein_coding,4804996
LOC4802732,,protein_coding,4802732
LOC4805649,,protein_coding,4805649
LOC117183203,,lncRNA,117183203
LOC6903613,,protein_coding,6903613
LOC4816926,,protein_coding,4816926
LOC4815686,,protein_coding,4815686
LOC6901534,,protein_coding,6901534
LOC4817392,,protein_coding,4817392
LOC4802677,,protein_coding,4802677
LOC4813783,,protein_coding,4813783
LOC117184264,,protein_coding,117184264
LOC6898901,,protein_coding,6898901
LOC26532805,,lncRNA,26532805
LOC6896728,,protein_coding,6896728
LOC6902372,,protein_coding,6902372
LOC4801889,,protein_coding,4801889
LOC6898685,,protein_coding,6898685
LOC117183552,,lncRNA,117183552
LOC4812920,,protein_coding,4812920
LOC6897357,,protein_coding,6897357
LOC26533591,,protein_coding,26533591
LOC6903579,,protein_coding,6903579
LOC4816758,,protein_coding,4816758
LOC6901036,,protein_coding,6901036
LOC4812309,,protein_coding,4812309
LOC4813272,,protein_coding,4813272
LOC6902242,,protein_coding,6902242
LOC4813465,,protein_coding,4813465
LOC4816664,,protein_coding,4816664
LOC4814732,,protein_coding,4814732
LOC4817889,,protein_coding,4817889
LOC4815259,,protein_coding,4815259
LOC4816022,,protein_coding,4816022
LOC4813623,,protein_coding,4813623
LOC4812248,,protein_coding,4812248
LOC4817449,,protein_coding,4817449
LOC26533623,,lncRNA,26533623
LOC117185581,,rRNA,117185581
LOC4816949,,protein_coding,4816949
LOC4814943,,protein_coding,4814943
LOC6897166,,protein_coding,6897166
LOC4813510,,protein_coding,4813510
LOC4804675,,protein_coding,4804675
LOC4812023,,protein_coding,4812023
LOC4803182,,protein_coding,4803182
LOC117183201,,lncRNA,117183201
LOC26532440,,lncRNA,26532440
LOC4803591,,protein_coding,4803591
LOC6900008,,protein_coding,6900008
LOC26531943,,lncRNA,26531943
LOC117184789,,lncRNA,117184789
LOC117184676,,lncRNA,117184676
LOC117184781,,lncRNA,117184781
LOC4800653,,protein_coding,4800653
LOC26533933,,lncRNA,26533933
LOC4802651,,protein_coding,4802651
LOC4803236,,protein_coding,4803236
LOC6898413,,protein_coding,6898413
LOC4801220,,protein_coding,4801220
LOC6898892,,protein_coding,6898892
LOC6903411,,protein_coding,6903411
LOC6896931,,protein_coding,6896931
LOC117183647,,lncRNA,117183647
LOC4813365,,protein_coding,4813365
LOC4813176,,protein_coding,4813176
LOC26532426,,lncRNA,26532426
LOC4804798,,protein_coding,4804798
LOC26534321,,protein_coding,26534321
LOC117185476,,rRNA,117185476
LOC4815591,,protein_coding,4815591
LOC6898339,,protein_coding,6898339
LOC4801408,,protein_coding,4801408
LOC117184185,,lncRNA,117184185
LOC4813269,,protein_coding,4813269
LOC6896859,,protein_coding,6896859
LOC4817868,,protein_coding,4817868
LOC4802069,,protein_coding,4802069
LOC117184997,,lncRNA,117184997
LOC4818096,,protein_coding,4818096
LOC4816667,,protein_coding,4816667
LOC4813085,,protein_coding,4813085
LOC4817599,,protein_coding,4817599
LOC117184293,Trnad-guc,tRNA,117184293
LOC26532706,,protein_coding,26532706
LOC6902640,,snRNA,6902640
LOC4814467,,protein_coding,4814467
LOC4816238,,protein_coding,4816238
LOC4804094,,protein_coding,4804094
LOC117183195,,lncRNA,117183195
LOC4816439,,protein_coding,4816439
LOC4817558,,protein_coding,4817558
LOC26532672,,protein_coding,26532672
LOC4803313,,protein_coding,4803313
LOC6903279,,protein_coding,6903279
LOC4814059,,protein_coding,4814059
LOC117183728,,protein_coding,117183728
LOC4800964,,protein_coding,4800964
LOC4814108,,protein_coding,4814108
LOC6902204,,protein_coding,6902204
LOC4800359,,protein_coding,4800359
LOC117183748,,lncRNA,117183748
LOC4801584,,protein_coding,4801584
LOC6897492,,protein_coding,6897492
LOC117184867,,lncRNA,117184867
LOC117184529,,protein_coding,117184529
LOC26533300,,lncRNA,26533300
LOC4813906,,protein_coding,4813906
LOC117183441,Trnas-gcu-4,tRNA,117183441
LOC4817533,,protein_coding,4817533
LOC117183305,,lncRNA,117183305
LOC4803908,,protein_coding,4803908
LOC4804179,,protein_coding,4804179
LOC4818033,,protein_coding,4818033
LOC4817943,,protein_coding,4817943
LOC117185640,,protein_coding,117185640
LOC6900537,,lncRNA,6900537
LOC6899070,,protein_coding,6899070
LOC4813661,,protein_coding,4813661
LOC4813725,,protein_coding,4813725
LOC6898079,,protein_coding,6898079
LOC4803819,,protein_coding,4803819
LOC6903640,,protein_coding,6903640
LOC4813449,,protein_coding,4813449
LOC6902022,,protein_coding,6902022
LOC117183894,Trnav-aac-3,tRNA,117183894
LOC117184043,,protein_coding,117184043
LOC4804779,,protein_coding,4804779
LOC4800722,,protein_coding,4800722
LOC4814256,,protein_coding,4814256
LOC4803086,,protein_coding,4803086
LOC4801704,,protein_coding,4801704
LOC15382899,,protein_coding,15382899
LOC4804534,,protein_coding,4804534
LOC4816867,,protein_coding,4816867
LOC4801287,,protein_coding,4801287
LOC4811647,,protein_coding,4811647
LOC6896839,,protein_coding,6896839
LOC4816633,,protein_coding,4816633
LOC4815977,,protein_coding,4815977
LOC4815754,,protein_coding,4815754
LOC4816840,,protein_coding,4816840
LOC4812029,,protein_coding,4812029
LOC4801475,,protein_coding,4801475
LOC26532915,,protein_coding,26532915
LOC4802731,,protein_coding,4802731
LOC117184346,,lncRNA,117184346
LOC4814570,,protein_coding,4814570
LOC117184931,,lncRNA,117184931
LOC4817456,,protein_coding,4817456
LOC26533897,,protein_coding,26533897
LOC26533105,,protein_coding,26533105
LOC4813096,,protein_coding,4813096
