Gene stable ID,Gene name,Gene type,Database of genes from NCBI RefSeq genomes ID
LOC6899816,,protein_coding,6899816
LOC4817998,,protein_coding,4817998
LOC117185564,,lncRNA,117185564
LOC4813118,,protein_coding,4813118
LOC6901550,,protein_coding,6901550
LOC6897504,,protein_coding,6897504
LOC6903157,,protein_coding,6903157
LOC6901129,,protein_coding,6901129
LOC4813527,,protein_coding,4813527
LOC6900464,,protein_coding,6900464
LOC4801981,,protein_coding,4801981
LOC26532487,,pseudogene,26532487
LOC117185257,,rRNA,117185257
LOC117184033,,lncRNA,117184033
LOC4812328,,protein_coding,4812328
LOC4817631,,protein_coding,4817631
LOC117185130,,protein_coding,117185130
LOC4815127,,protein_coding,4815127
LOC26532887,,lncRNA,26532887
LOC4800730,,protein_coding,4800730
LOC6899932,,protein_coding,6899932
LOC26532831,,lncRNA,26532831
LOC6902687,,protein_coding,6902687
LOC4816625,,protein_coding,4816625
LOC4812010,,protein_coding,4812010
LOC4804872,,protein_coding,4804872
LOC4805727,,protein_coding,4805727
LOC4800361,,protein_coding,4800361
LOC26533523,,protein_coding,26533523
LOC4811743,,protein_coding,4811743
LOC117183499,,lncRNA,117183499
LOC117183583,,lncRNA,117183583
LOC4803846,,protein_coding,4803846
LOC4803026,,protein_coding,4803026
LOC117183880,Trnas-uga-2,tRNA,117183880
LOC4816290,,protein_coding,4816290
LOC6903162,,protein_coding,6903162
LOC117184229,,lncRNA,117184229
LOC4815407,,protein_coding,4815407
LOC117183851,Trnan-guu-8,tRNA,117183851
LOC4815423,,protein_coding,4815423
LOC6902117,,protein_coding,6902117
LOC4801500,,protein_coding,4801500
LOC26532333,,protein_coding,26532333
LOC4800590,,protein_coding,4800590
LOC5495511,,protein_coding,5495511
LOC4813748,,protein_coding,4813748
LOC4803626,,protein_coding,4803626
LOC4804372,,protein_coding,4804372
LOC4805568,,protein_coding,4805568
LOC4815917,,protein_coding,4815917
LOC6898332,,protein_coding,6898332
LOC6902126,,protein_coding,6902126
LOC4813100,,protein_coding,4813100
LOC4802696,,protein_coding,4802696
LOC4801223,,protein_coding,4801223
LOC26532362,,lncRNA,26532362
LOC6897358,,protein_coding,6897358
LOC4800598,,protein_coding,4800598
LOC4801514,,protein_coding,4801514
LOC4802939,,protein_coding,4802939
LOC4812384,,protein_coding,4812384
LOC4801180,,protein_coding,4801180
LOC4815751,,protein_coding,4815751
LOC4801140,,protein_coding,4801140
LOC4812458,,protein_coding,4812458
LOC4811841,,protein_coding,4811841
LOC4800885,,protein_coding,4800885
LOC4817643,,protein_coding,4817643
LOC4811879,,protein_coding,4811879
LOC6901824,,protein_coding,6901824
LOC4801171,,protein_coding,4801171
LOC4802017,,protein_coding,4802017
LOC4813059,,protein_coding,4813059
LOC6897468,,protein_coding,6897468
LOC6903361,,protein_coding,6903361
LOC4805465,,protein_coding,4805465
LOC4801946,,protein_coding,4801946
LOC6903460,,protein_coding,6903460
LOC26532545,,lncRNA,26532545
LOC4805469,,protein_coding,4805469
LOC4803382,,protein_coding,4803382
LOC6900992,,protein_coding,6900992
LOC4817591,,protein_coding,4817591
LOC4816734,,protein_coding,4816734
LOC6901937,,protein_coding,6901937
LOC4816032,,protein_coding,4816032
LOC6901016,,protein_coding,6901016
LOC117183679,,lncRNA,117183679
LOC4804019,,protein_coding,4804019
LOC6900435,,protein_coding,6900435
LOC4811786,,protein_coding,4811786
LOC6904123,,protein_coding,6904123
LOC5495516,,protein_coding,5495516
LOC117184874,,protein_coding,117184874
LOC117184820,,lncRNA,117184820
LOC4804524,,protein_coding,4804524
LOC117185318,,rRNA,117185318
LOC4805683,,protein_coding,4805683
LOC4804358,,protein_coding,4804358
LOC117183173,,protein_coding,117183173
LOC6898081,,protein_coding,6898081
LOC117184928,,lncRNA,117184928
LOC117183462,Trnat-agu-3,tRNA,117183462
LOC4804361,,protein_coding,4804361
LOC117183349,,lncRNA,117183349
LOC4804215,,protein_coding,4804215
LOC6902370,,protein_coding,6902370
LOC4811682,,protein_coding,4811682
LOC13036358,,protein_coding,13036358
LOC6897423,,protein_coding,6897423
LOC4814898,,protein_coding,4814898
LOC4815199,,protein_coding,4815199
LOC6900279,,snoRNA,6900279
LOC6900643,,protein_coding,6900643
LOC4818146,,protein_coding,4818146
LOC4812112,,protein_coding,4812112
LOC117183472,Trnaa-agc-11,tRNA,117183472
LOC4812565,,protein_coding,4812565
LOC4803949,,protein_coding,4803949
LOC4803953,,protein_coding,4803953
LOC6900434,,protein_coding,6900434
LOC6903454,,protein_coding,6903454
LOC4815234,,protein_coding,4815234
LOC117185107,,protein_coding,117185107
LOC117184685,,protein_coding,117184685
LOC6904087,,protein_coding,6904087
LOC6899285,,protein_coding,6899285
LOC117183621,,protein_coding,117183621
LOC117184829,,lncRNA,117184829
LOC6901048,,protein_coding,6901048
LOC4804500,,protein_coding,4804500
LOC4803265,,protein_coding,4803265
LOC4803778,,protein_coding,4803778
LOC4815139,,protein_coding,4815139
LOC6901035,,protein_coding,6901035
LOC4813236,,protein_coding,4813236
LOC4801629,,protein_coding,4801629
LOC6898843,,protein_coding,6898843
LOC6900846,,protein_coding,6900846
LOC4812992,,protein_coding,4812992
LOC4813480,,protein_coding,4813480
LOC4816743,,protein_coding,4816743
LOC4800770,,protein_coding,4800770
LOC4816080,,protein_coding,4816080
LOC117183927,,protein_coding,117183927
LOC117185196,,protein_coding,117185196
LOC26534298,,protein_coding,26534298
LOC117185304,,rRNA,117185304
LOC26532892,,protein_coding,26532892
LOC4812466,,protein_coding,4812466
LOC4815671,,protein_coding,4815671
LOC6901547,,protein_coding,6901547
LOC26533310,,lncRNA,26533310
LOC26532845,,lncRNA,26532845
LOC6900045,,protein_coding,6900045
LOC6900186,,protein_coding,6900186
LOC6903084,,protein_coding,6903084
LOC117183664,,lncRNA,117183664
LOC117185087,,lncRNA,117185087
LOC4815927,,protein_coding,4815927
LOC4804343,,protein_coding,4804343
LOC4800761,,protein_coding,4800761
LOC6901573,,protein_coding,6901573
LOC6898167,,protein_coding,6898167
LOC4801656,,protein_coding,4801656
LOC117184318,Trnad-guc-6,tRNA,117184318
LOC4805021,,protein_coding,4805021
LOC117185148,,protein_coding,117185148
LOC117185472,,rRNA,117185472
LOC4800428,,protein_coding,4800428
LOC6897581,,protein_coding,6897581
LOC4813760,,protein_coding,4813760
LOC26534366,,lncRNA,26534366
LOC4814606,,protein_coding,4814606
LOC4804597,,protein_coding,4804597
LOC117184526,,protein_coding,117184526
LOC4804903,,protein_coding,4804903
LOC4817588,,protein_coding,4817588
LOC6901262,,protein_coding,6901262
LOC4816415,,protein_coding,4816415
LOC117185361,Trnar-ucu-3,tRNA,117185361
LOC4800727,,protein_coding,4800727
LOC4811736,,protein_coding,4811736
LOC6902231,,protein_coding,6902231
LOC117185607,,protein_coding,117185607
LOC4802064,,protein_coding,4802064
LOC4816673,,protein_coding,4816673
LOC6898047,,protein_coding,6898047
LOC26533076,,lncRNA,26533076
LOC4800373,,protein_coding,4800373
LOC6898782,,protein_coding,6898782
LOC4805474,,protein_coding,4805474
LOC6902173,,protein_coding,6902173
LOC4800271,,protein_coding,4800271
LOC4812870,,protein_coding,4812870
LOC117184909,,protein_coding,117184909
LOC4804183,,protein_coding,4804183
LOC6898109,,protein_coding,6898109
LOC117184677,,protein_coding,117184677
LOC4802603,,protein_coding,4802603
LOC6901350,,protein_coding,6901350
LOC4817319,,protein_coding,4817319
LOC6901141,,protein_coding,6901141
LOC4818040,,protein_coding,4818040
LOC6897110,,protein_coding,6897110
LOC4817914,,protein_coding,4817914
LOC4818042,,protein_coding,4818042
LOC4804659,,protein_coding,4804659
LOC4801974,,protein_coding,4801974
LOC6900440,,protein_coding,6900440
LOC6897746,,protein_coding,6897746
LOC4818020,,protein_coding,4818020
LOC6902371,,protein_coding,6902371
LOC117184187,,lncRNA,117184187
LOC4812053,,protein_coding,4812053
LOC4815126,,protein_coding,4815126
LOC4813504,,protein_coding,4813504
LOC4801722,,protein_coding,4801722
LOC4814991,,protein_coding,4814991
LOC4802561,,protein_coding,4802561
LOC6900929,,protein_coding,6900929
LOC4818074,,protein_coding,4818074
LOC4818164,,protein_coding,4818164
LOC6897347,,protein_coding,6897347
LOC4813134,,protein_coding,4813134
LOC4815650,,protein_coding,4815650
LOC4814054,,protein_coding,4814054
LOC6897111,,protein_coding,6897111
LOC6897003,,protein_coding,6897003
LOC4800340,,protein_coding,4800340
LOC26534271,,lncRNA,26534271
LOC117184423,,lncRNA,117184423
LOC6903975,,protein_coding,6903975
LOC4815306,,protein_coding,4815306
LOC117183241,,protein_coding,117183241
LOC117185009,,lncRNA,117185009
LOC117185620,,protein_coding,117185620
LOC6902752,,snoRNA,6902752
LOC117184570,,protein_coding,117184570
LOC4804469,,protein_coding,4804469
LOC117185074,,pseudogene,117185074
LOC117183220,,protein_coding,117183220
LOC4803744,,protein_coding,4803744
LOC4805313,,protein_coding,4805313
LOC4801892,,protein_coding,4801892
LOC4814156,,protein_coding,4814156
LOC6897435,,protein_coding,6897435
LOC4803509,,protein_coding,4803509
LOC4815710,,protein_coding,4815710
LOC4802344,,protein_coding,4802344
LOC4804572,,protein_coding,4804572
LOC117183539,,protein_coding,117183539
LOC4800692,,protein_coding,4800692
LOC6897474,,protein_coding,6897474
LOC6897440,,protein_coding,6897440
LOC117185386,Trnai-uau,tRNA,117185386
LOC6903895,,protein_coding,6903895
LOC117184439,,lncRNA,117184439
LOC4802496,,protein_coding,4802496
LOC4813603,,protein_coding,4813603
LOC4815282,,protein_coding,4815282
LOC26533094,,protein_coding,26533094
LOC4818047,,protein_coding,4818047
LOC6902244,,protein_coding,6902244
LOC4805705,,protein_coding,4805705
LOC6902297,,protein_coding,6902297
LOC6902536,,protein_coding,6902536
LOC4812473,,protein_coding,4812473
LOC117185253,,rRNA,117185253
LOC117184960,,protein_coding,117184960
LOC4814421,,protein_coding,4814421
LOC6903358,,protein_coding,6903358
LOC117183986,,protein_coding,117183986
LOC4815465,,protein_coding,4815465
LOC4813281,,protein_coding,4813281
LOC117184438,,lncRNA,117184438
LOC6900512,,protein_coding,6900512
LOC4817925,,protein_coding,4817925
LOC4817924,,protein_coding,4817924
LOC4804876,,protein_coding,4804876
LOC4816933,,protein_coding,4816933
LOC44805028,HCS66_mgt06,tRNA,44805028
LOC4816607,,protein_coding,4816607
LOC4814704,,protein_coding,4814704
LOC4815951,,protein_coding,4815951
LOC4817632,,protein_coding,4817632
LOC6900271,,protein_coding,6900271
LOC4812725,,protein_coding,4812725
LOC6901383,,protein_coding,6901383
LOC4802905,,protein_coding,4802905
LOC117185204,,protein_coding,117185204
LOC26532117,,lncRNA,26532117
LOC117184788,,lncRNA,117184788
LOC6901425,,protein_coding,6901425
LOC26533992,,protein_coding,26533992
LOC13036445,,protein_coding,13036445
LOC117184522,,lncRNA,117184522
LOC4816719,,protein_coding,4816719
LOC117185164,,lncRNA,117185164
LOC6899111,,protein_coding,6899111
LOC4805319,,protein_coding,4805319
LOC4804891,,protein_coding,4804891
LOC4803186,,protein_coding,4803186
LOC4814802,,protein_coding,4814802
LOC4818201,,protein_coding,4818201
LOC6898303,,protein_coding,6898303
LOC117185315,,rRNA,117185315
LOC6903512,,protein_coding,6903512
LOC117184927,,protein_coding,117184927
LOC4811788,,protein_coding,4811788
LOC117184589,,protein_coding,117184589
LOC6901932,,protein_coding,6901932
LOC4817051,,protein_coding,4817051
LOC117183852,Trnan-guu-10,tRNA,117183852
LOC4812993,,protein_coding,4812993
LOC4801917,,protein_coding,4801917
LOC4803966,,protein_coding,4803966
LOC6901952,,protein_coding,6901952
LOC117183972,,protein_coding,117183972
LOC6898524,,protein_coding,6898524
LOC26534420,,lncRNA,26534420
LOC26533180,,protein_coding,26533180
LOC4802554,,protein_coding,4802554
LOC6902812,,protein_coding,6902812
LOC4803793,,protein_coding,4803793
LOC6898766,,protein_coding,6898766
LOC4817438,,protein_coding,4817438
LOC4817300,,protein_coding,4817300
LOC4803872,,protein_coding,4803872
LOC117184058,,lncRNA,117184058
LOC4816943,,protein_coding,4816943
LOC6900140,,snoRNA,6900140
LOC117185093,,protein_coding,117185093
LOC4802668,,protein_coding,4802668
LOC4802303,,protein_coding,4802303
LOC117185392,Trnal-cag-5,tRNA,117185392
LOC4802530,,protein_coding,4802530
LOC4802246,,protein_coding,4802246
LOC4817049,,protein_coding,4817049
LOC4814706,,protein_coding,4814706
LOC4817098,,protein_coding,4817098
LOC4811927,,protein_coding,4811927
LOC4803989,,protein_coding,4803989
LOC6900762,,protein_coding,6900762
LOC4804214,,protein_coding,4804214
LOC4803517,,protein_coding,4803517
LOC4804978,,protein_coding,4804978
LOC4801426,,protein_coding,4801426
LOC4814911,,protein_coding,4814911
LOC117184024,,protein_coding,117184024
LOC6900887,,protein_coding,6900887
LOC4802105,,protein_coding,4802105
LOC4802672,,protein_coding,4802672
LOC4812505,,protein_coding,4812505
LOC4801782,,protein_coding,4801782
LOC26531951,,protein_coding,26531951
LOC117184554,,protein_coding,117184554
LOC26533646,,protein_coding,26533646
LOC4813213,,protein_coding,4813213
LOC4812511,,protein_coding,4812511
LOC4817779,,protein_coding,4817779
LOC4813057,,protein_coding,4813057
LOC4801121,,protein_coding,4801121
LOC4813234,,protein_coding,4813234
LOC6901651,,protein_coding,6901651
LOC4802418,,protein_coding,4802418
LOC4804706,,protein_coding,4804706
LOC4802066,,protein_coding,4802066
LOC6900500,,protein_coding,6900500
LOC13036511,,protein_coding,13036511
LOC4815515,,protein_coding,4815515
LOC4804581,,protein_coding,4804581
LOC117184731,,pseudogene,117184731
LOC4812138,,protein_coding,4812138
LOC4816265,,protein_coding,4816265
LOC4814930,,protein_coding,4814930
LOC26533059,,lncRNA,26533059
LOC6899986,,protein_coding,6899986
LOC117184348,,lncRNA,117184348
LOC6902158,,protein_coding,6902158
LOC4805151,,protein_coding,4805151
LOC4811914,,protein_coding,4811914
LOC4804425,,protein_coding,4804425
LOC4803780,,protein_coding,4803780
LOC4814309,,protein_coding,4814309
LOC6899859,,protein_coding,6899859
LOC13036543,,protein_coding,13036543
LOC26533268,,lncRNA,26533268
LOC117184905,,lncRNA,117184905
LOC6900092,,protein_coding,6900092
LOC4817298,,protein_coding,4817298
LOC117184933,,lncRNA,117184933
LOC4812321,,protein_coding,4812321
LOC6896872,,protein_coding,6896872
LOC4814895,,protein_coding,4814895
LOC117185540,,rRNA,117185540
LOC6900589,,protein_coding,6900589
LOC6897055,,protein_coding,6897055
LOC4803433,,protein_coding,4803433
LOC6903889,,protein_coding,6903889
LOC4812172,,protein_coding,4812172
LOC6896924,,protein_coding,6896924
LOC117183489,,protein_coding,117183489
LOC26533710,,lncRNA,26533710
LOC6898509,,protein_coding,6898509
LOC4802631,,protein_coding,4802631
LOC4817700,,protein_coding,4817700
LOC4817385,,protein_coding,4817385
LOC4815656,,protein_coding,4815656
LOC6902810,,protein_coding,6902810
LOC4800326,,protein_coding,4800326
LOC4812848,,protein_coding,4812848
LOC4816417,,protein_coding,4816417
LOC4803070,,protein_coding,4803070
LOC4804823,,protein_coding,4804823
LOC4812133,,protein_coding,4812133
LOC26533183,,lncRNA,26533183
LOC4816333,,protein_coding,4816333
LOC6897353,,protein_coding,6897353
LOC4815790,,protein_coding,4815790
LOC4814032,,protein_coding,4814032
LOC6897342,,protein_coding,6897342
LOC4803157,,protein_coding,4803157
LOC4816874,,protein_coding,4816874
LOC6903396,,protein_coding,6903396
LOC4814550,,protein_coding,4814550
LOC4804927,,protein_coding,4804927
LOC6902942,,protein_coding,6902942
LOC4817756,,protein_coding,4817756
LOC6902366,,protein_coding,6902366
LOC117183764,,lncRNA,117183764
LOC6898236,,protein_coding,6898236
LOC4813333,,protein_coding,4813333
LOC26531948,,lncRNA,26531948
LOC6900533,,protein_coding,6900533
LOC4812531,,protein_coding,4812531
LOC117185500,,rRNA,117185500
LOC6897778,,protein_coding,6897778
LOC4815122,,protein_coding,4815122
LOC4816670,,protein_coding,4816670
LOC6903402,,protein_coding,6903402
LOC4815421,,protein_coding,4815421
LOC6896759,,protein_coding,6896759
LOC4804884,,protein_coding,4804884
LOC4816373,,protein_coding,4816373
LOC4814435,,protein_coding,4814435
LOC117184413,,protein_coding,117184413
LOC4804640,,protein_coding,4804640
LOC26534209,,protein_coding,26534209
LOC4805405,,protein_coding,4805405
LOC117183640,,protein_coding,117183640
LOC117183496,,protein_coding,117183496
LOC6901478,,protein_coding,6901478
LOC4813370,,protein_coding,4813370
LOC4816482,,protein_coding,4816482
LOC117184420,,lncRNA,117184420
LOC4803297,,protein_coding,4803297
LOC4816911,,protein_coding,4816911
LOC6898543,,snoRNA,6898543
LOC4800670,,protein_coding,4800670
LOC4815312,,protein_coding,4815312
LOC4816855,,protein_coding,4816855
LOC117183935,,protein_coding,117183935
LOC4805273,,protein_coding,4805273
LOC6901933,,protein_coding,6901933
LOC117185013,,lncRNA,117185013
LOC4801290,,protein_coding,4801290
LOC4815152,,protein_coding,4815152
LOC6900098,,protein_coding,6900098
LOC117185336,Trnas-cga-4,tRNA,117185336
LOC4814851,,protein_coding,4814851
LOC117183316,,protein_coding,117183316
LOC4801422,,protein_coding,4801422
LOC6902353,,protein_coding,6902353
LOC6902701,,protein_coding,6902701
LOC6903735,,protein_coding,6903735
LOC4812334,,protein_coding,4812334
LOC4802917,,protein_coding,4802917
LOC4802516,,protein_coding,4802516
LOC6901749,,protein_coding,6901749
LOC117185072,,protein_coding,117185072
LOC4817241,,protein_coding,4817241
LOC4804410,,protein_coding,4804410
LOC4815973,,protein_coding,4815973
LOC117184471,,lncRNA,117184471
LOC6896879,,protein_coding,6896879
LOC4800749,,protein_coding,4800749
LOC4805326,,protein_coding,4805326
LOC4817269,,protein_coding,4817269
LOC4802479,,protein_coding,4802479
LOC26533654,,lncRNA,26533654
LOC6896708,,protein_coding,6896708
LOC4803538,,protein_coding,4803538
LOC4815478,,protein_coding,4815478
LOC117183465,Trnaa-agc-10,tRNA,117183465
LOC4800548,,protein_coding,4800548
LOC6900937,,protein_coding,6900937
LOC6902252,,protein_coding,6902252
LOC4813289,,protein_coding,4813289
LOC117184626,,lncRNA,117184626
LOC117184171,,protein_coding,117184171
LOC6900632,,protein_coding,6900632
LOC117184011,,protein_coding,117184011
LOC4813357,,protein_coding,4813357
LOC4800357,,protein_coding,4800357
LOC117184795,,lncRNA,117184795
LOC6896817,,protein_coding,6896817
LOC26533347,,lncRNA,26533347
LOC6902492,,protein_coding,6902492
LOC6897025,,protein_coding,6897025
LOC117185372,Trnav-aac-5,tRNA,117185372
LOC4816982,,protein_coding,4816982
LOC4804806,,protein_coding,4804806
LOC26532055,,lncRNA,26532055
LOC4817731,,protein_coding,4817731
LOC4815665,,protein_coding,4815665
LOC4801539,,protein_coding,4801539
LOC117183212,,pseudogene,117183212
LOC6902191,,protein_coding,6902191
LOC4803788,,protein_coding,4803788
LOC4814945,,protein_coding,4814945
LOC4805534,,protein_coding,4805534
LOC6897928,,protein_coding,6897928
LOC4801774,,protein_coding,4801774
LOC4805464,,protein_coding,4805464
LOC117185656,,lncRNA,117185656
LOC6897671,,protein_coding,6897671
LOC26532503,,protein_coding,26532503
LOC117183524,,protein_coding,117183524
LOC6899939,,protein_coding,6899939
LOC6898602,,protein_coding,6898602
LOC4800919,,protein_coding,4800919
LOC6904085,,protein_coding,6904085
LOC6901596,,protein_coding,6901596
LOC117183709,,lncRNA,117183709
LOC4803420,,protein_coding,4803420
LOC4814629,,protein_coding,4814629
LOC6900450,,protein_coding,6900450
LOC6898831,,protein_coding,6898831
LOC6902216,,protein_coding,6902216
LOC6897624,,protein_coding,6897624
LOC4811653,,protein_coding,4811653
LOC4817277,,protein_coding,4817277
LOC4816462,,protein_coding,4816462
LOC4805270,,protein_coding,4805270
LOC4804466,,protein_coding,4804466
LOC4817872,,protein_coding,4817872
LOC4812131,,protein_coding,4812131
LOC4812892,,protein_coding,4812892
LOC117183219,,lncRNA,117183219
LOC6897174,,protein_coding,6897174
LOC26532761,,protein_coding,26532761
LOC26532863,,protein_coding,26532863
LOC117184172,,protein_coding,117184172
LOC117183614,,lncRNA,117183614
LOC6900209,,protein_coding,6900209
LOC4811816,,protein_coding,4811816
LOC117183956,,lncRNA,117183956
LOC4800832,,protein_coding,4800832
LOC4801784,,protein_coding,4801784
LOC26532491,,protein_coding,26532491
LOC26533341,,protein_coding,26533341
LOC4805695,,protein_coding,4805695
LOC6898010,,protein_coding,6898010
LOC4805625,,protein_coding,4805625
LOC6898323,,protein_coding,6898323
LOC6899906,,protein_coding,6899906
LOC26532715,,protein_coding,26532715
LOC4800941,,protein_coding,4800941
LOC4801720,,protein_coding,4801720
LOC4804941,,protein_coding,4804941
LOC4816087,,protein_coding,4816087
LOC117184163,,protein_coding,117184163
LOC4817331,,protein_coding,4817331
LOC6896990,,protein_coding,6896990
LOC6901797,,protein_coding,6901797
LOC4801965,,protein_coding,4801965
LOC4815261,,protein_coding,4815261
LOC4805342,,protein_coding,4805342
LOC117185183,,lncRNA,117185183
LOC4814086,,protein_coding,4814086
LOC4802700,,protein_coding,4802700
LOC4811795,,protein_coding,4811795
LOC6902200,,protein_coding,6902200
LOC4813694,,protein_coding,4813694
LOC4817568,,protein_coding,4817568
LOC4802563,,protein_coding,4802563
LOC4818187,,protein_coding,4818187
LOC4804847,,protein_coding,4804847
LOC6897264,,protein_coding,6897264
LOC4804420,,protein_coding,4804420
LOC4801553,,protein_coding,4801553
LOC6901353,,snoRNA,6901353
LOC4802422,,protein_coding,4802422
LOC4815016,,protein_coding,4815016
LOC6900119,,protein_coding,6900119
LOC6901618,,protein_coding,6901618
LOC6903323,,protein_coding,6903323
LOC4814881,,protein_coding,4814881
LOC26532413,,pseudogene,26532413
LOC4816012,,protein_coding,4816012
LOC4800410,,protein_coding,4800410
LOC4804623,,protein_coding,4804623
LOC6899910,,pseudogene,6899910
LOC6897810,,protein_coding,6897810
LOC117184301,Trnaq-cug-2,tRNA,117184301
LOC117184499,,protein_coding,117184499
LOC4801847,,protein_coding,4801847
LOC44805042,HCS66_mgt14,tRNA,44805042
LOC44805024,HCS66_mgt03,tRNA,44805024
LOC26532240,,lncRNA,26532240
LOC6901616,,protein_coding,6901616
LOC6898458,,protein_coding,6898458
LOC4813954,,protein_coding,4813954
LOC117184020,,lncRNA,117184020
LOC26533874,,lncRNA,26533874
LOC4814841,,protein_coding,4814841
LOC6902579,,protein_coding,6902579
LOC6897340,,protein_coding,6897340
LOC4800777,,protein_coding,4800777
LOC4817393,,protein_coding,4817393
LOC26534302,,lncRNA,26534302
LOC4817492,,protein_coding,4817492
LOC4801505,,protein_coding,4801505
LOC4813730,,protein_coding,4813730
LOC6897992,,protein_coding,6897992
LOC6896689,,protein_coding,6896689
LOC6898344,,protein_coding,6898344
LOC117183656,,lncRNA,117183656
LOC117184729,,lncRNA,117184729
LOC4817071,,protein_coding,4817071
LOC4812418,,protein_coding,4812418
LOC6897172,,protein_coding,6897172
LOC117184355,,lncRNA,117184355
LOC4814544,,protein_coding,4814544
LOC6898992,,protein_coding,6898992
LOC117185452,,rRNA,117185452
LOC6902341,,protein_coding,6902341
LOC4816979,,protein_coding,4816979
LOC6901684,,protein_coding,6901684
LOC6896718,,protein_coding,6896718
LOC4802183,,protein_coding,4802183
LOC6900229,,protein_coding,6900229
LOC6897544,,protein_coding,6897544
LOC4812654,,protein_coding,4812654
LOC4815666,,protein_coding,4815666
LOC4802919,,protein_coding,4802919
LOC6898697,,protein_coding,6898697
LOC6902488,,protein_coding,6902488
LOC117183793,,lncRNA,117183793
LOC6901248,,protein_coding,6901248
LOC117184193,,protein_coding,117184193
LOC117183717,,protein_coding,117183717
LOC117184233,,lncRNA,117184233
LOC4817493,,protein_coding,4817493
LOC6902021,,lncRNA,6902021
LOC6901553,,protein_coding,6901553
LOC6898753,,protein_coding,6898753
LOC4816358,,protein_coding,4816358
LOC4803973,,protein_coding,4803973
LOC4800439,,protein_coding,4800439
LOC117184449,,lncRNA,117184449
LOC4814540,,protein_coding,4814540
LOC4812453,,protein_coding,4812453
LOC6903407,,protein_coding,6903407
LOC6903333,,protein_coding,6903333
LOC4816292,,protein_coding,4816292
LOC4815091,,protein_coding,4815091
LOC4801804,,protein_coding,4801804
LOC4812335,,protein_coding,4812335
LOC4804022,,protein_coding,4804022
LOC4804898,,protein_coding,4804898
LOC4803827,,protein_coding,4803827
LOC4805596,,protein_coding,4805596
LOC4805170,,protein_coding,4805170
LOC4802988,,protein_coding,4802988
LOC26533311,,lncRNA,26533311
LOC6897727,,protein_coding,6897727
LOC117184291,Trnap-agg-4,tRNA,117184291
LOC4817738,,protein_coding,4817738
LOC4816856,,protein_coding,4816856
LOC4803152,,protein_coding,4803152
LOC6896671,,protein_coding,6896671
LOC26533905,,protein_coding,26533905
LOC4815324,,protein_coding,4815324
LOC4800507,,protein_coding,4800507
LOC4801047,,protein_coding,4801047
LOC26533586,,lncRNA,26533586
LOC4803112,,protein_coding,4803112
LOC117184834,,protein_coding,117184834
LOC4802734,,protein_coding,4802734
LOC6901950,,protein_coding,6901950
LOC4812888,,protein_coding,4812888
LOC4814159,,protein_coding,4814159
LOC13036518,,protein_coding,13036518
LOC117184806,,lncRNA,117184806
LOC6897488,,protein_coding,6897488
LOC4814030,,protein_coding,4814030
LOC4801041,,protein_coding,4801041
LOC4801835,,protein_coding,4801835
LOC4801907,,protein_coding,4801907
LOC26533078,,lncRNA,26533078
LOC4803497,,protein_coding,4803497
LOC26533516,,lncRNA,26533516
LOC6902153,,protein_coding,6902153
LOC4813501,,protein_coding,4813501
LOC6897677,,protein_coding,6897677
LOC4805442,,protein_coding,4805442
LOC117185393,Trnal-cag-6,tRNA,117185393
LOC117185439,,protein_coding,117185439
LOC4805656,,protein_coding,4805656
LOC4816568,,protein_coding,4816568
LOC117184075,,protein_coding,117184075
LOC4817206,,protein_coding,4817206
LOC117184414,,protein_coding,117184414
LOC6899999,,protein_coding,6899999
LOC4814041,,protein_coding,4814041
LOC6897196,,rRNA,6897196
LOC4816586,,protein_coding,4816586
LOC6900691,,protein_coding,6900691
LOC4813259,,protein_coding,4813259
LOC4805392,,protein_coding,4805392
LOC6897599,,protein_coding,6897599
LOC117185441,,rRNA,117185441
LOC15382902,,protein_coding,15382902
LOC117185137,,protein_coding,117185137
LOC6896699,,protein_coding,6896699
LOC6900346,,protein_coding,6900346
LOC4802770,,protein_coding,4802770
LOC13036310,,protein_coding,13036310
LOC6899105,,protein_coding,6899105
LOC4812491,,protein_coding,4812491
LOC6903413,,protein_coding,6903413
LOC117185455,,rRNA,117185455
LOC26533108,,lncRNA,26533108
LOC4805336,,protein_coding,4805336
LOC4815994,,protein_coding,4815994
LOC117183193,,protein_coding,117183193
LOC26533224,,pseudogene,26533224
LOC6902018,,protein_coding,6902018
LOC26532550,,lncRNA,26532550
LOC4815373,,protein_coding,4815373
LOC4800966,,protein_coding,4800966
LOC6900079,,snoRNA,6900079
LOC117185645,,lncRNA,117185645
LOC6901417,,protein_coding,6901417
LOC4817953,,protein_coding,4817953
LOC6897777,,protein_coding,6897777
LOC4816610,,protein_coding,4816610
LOC6901649,,protein_coding,6901649
LOC4814574,,protein_coding,4814574
LOC4814575,,protein_coding,4814575
LOC4818019,,protein_coding,4818019
LOC117185338,Trnar-ucg-5,tRNA,117185338
LOC4812991,,protein_coding,4812991
LOC4801522,,protein_coding,4801522
LOC4801886,,protein_coding,4801886
LOC117185002,,lncRNA,117185002
LOC6898848,,protein_coding,6898848
LOC26532940,,lncRNA,26532940
LOC4801295,,protein_coding,4801295
LOC4812652,,protein_coding,4812652
LOC117185261,,rRNA,117185261
LOC4816211,,protein_coding,4816211
LOC6896794,,protein_coding,6896794
LOC4804952,,protein_coding,4804952
